,Unnamed: 0,Unnamed: 0.1,Antena,Ano,Mes,Dia,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas,clase
13313,61473,61473,TEZONTLE,2019,3,11,19.3852777778,-99.0997222222,29.5,9.95166,29.00043,9.95166,18.34784,22.5,2
13314,61480,61480,CS54,2019,3,11,16.83,-93.1,33.1434,15.0802,33.1434,15.0802,23.88785,23.88785,1
13315,61487,61487,MOTOZINTLA,2019,3,11,15.3333333333,-92.2675,31.17529,13.0,31.17529,13.93866,22.33792,22.33792,1
13316,61494,61494,LAS FLORES II,2019,3,11,16.6925,-93.5633333333,29.5,19.9,34.27487,18.31427,25.73346,25.73346,1
13317,61501,61501,TEMAZCALCINGO,2019,3,11,19.9044444444,-100.0166666667,29.23819,9.0,29.23819,11.09802,18.97885,18.97885,2
13318,61508,61508,F CHAYABE,2019,3,11,16.3830555556,-91.7102777778,29.23993,14.6,29.23993,14.6933,21.23779,21.23779,1
13319,61515,61515,F CUXTEPEQUES,2019,3,11,15.7277777778,-92.9652777778,35.00677,20.77472,35.00677,20.77472,27.10645,27.10645,1
13320,61522,61522,P JARIPO,2019,3,11,20.3030555556,-102.4313888889,30.6,11.8,33.20877,13.38644,22.67389,22.67389,2
13321,61529,61529,PAREDON,2019,3,11,16.0552777778,-93.8619444444,32.5,21.7,35.18759,23.00159,27.95285,27.5,1
13322,61536,61536,IZTA-POPO,2019,3,11,19.0955555556,-98.6430555556,31.01993,12.24915,31.01993,12.24915,20.45944,28.3,2
13323,61543,61543,CRED COMITAN,2019,3,11,16.2355555556,-92.1352777778,31.78265,13.3,31.78265,14.64349,22.83875,18.2,1
13324,61550,61550,SAN GABRIEL,2019,3,11,23.0852777778,-98.7877777778,34.21335,19.86139,34.21335,19.86139,25.86581,25.86581,1
13325,61557,61557,COLIMA,2019,3,11,19.2183333333,-103.7205555556,34.0,19.9,31.69366,18.40131,23.45901,25.4,1
13326,61564,61564,LA PIEDAD,2019,3,11,21.3536111111,-102.0038888889,30.3,10.0,30.72534,10.70886,20.20935,20.20935,2
13327,61571,61571,CALAKMUL II,2019,3,11,18.0938888889,-89.4619444444,31.3,19.4,33.81189,22.09955,27.25568,24.8,1
13328,61578,61578,ESCARCEGA,2019,3,11,18.6083333333,-90.7538888889,35.8,22.9,36.84372,24.18277,30.26837,28.7,1
13329,61585,61585,CUATRO CIENEGAS,2019,3,11,27.0022222222,-102.0725,29.6,17.0,27.90558,13.49759,20.04654,23.1,2
13330,61592,61592,V CARRANZA,2019,3,11,27.5194444444,-100.95,27.8,21.5,29.83749,18.88013,23.30743,23.0,1
13331,61599,61599,SANTA CECILIA,2019,3,11,28.3994444444,-101.2130555556,28.93311,16.6,28.93311,18.42355,21.91046,18.7,2
13332,61606,61606,EL SALADO,2019,3,11,19.0408333333,-95.9708333333,28.8,22.5,30.55499,23.08044,26.07239,25.2,1
13333,61613,61613,BASASEACHI,2019,3,11,28.1991666667,-108.2088888889,15.8,5.9,14.47116,5.71414,9.46912,10.1,0
13334,61620,61620,APATZINGAN,2019,3,11,19.0827777778,-102.3716666667,39.3,21.4,34.80435,17.37805,25.11514,29.9,1
13335,61627,61627,CHINATU,2019,3,11,26.2294444444,-106.7705555556,21.7,5.4,19.26581,6.61414,11.70319,12.3,0
13336,61634,61634,CD MADERO,2019,3,11,22.2838888889,-97.8441666667,27.96591,21.73578,27.96591,21.73578,24.30219,24.30219,1
13337,61641,61641,MAGUARICHI,2019,3,11,27.8583333333,-107.9944444444,19.5,6.05267,15.30066,6.05267,10.02615,16.8,0
13338,61648,61648,URIQUE,2019,3,11,27.2155555556,-107.9169444444,21.29947,9.77646,21.29947,9.77646,14.73422,22.3,0
13339,61655,61655,CHINIPAS,2019,3,11,27.3927777778,-108.5363888889,27.8,12.43518,23.32999,12.43518,17.26794,21.6,2
13340,61662,61662,BS17,2019,3,11,23.44,-109.43,25.92377,20.59836,25.92377,20.59836,22.51529,22.51529,2
13341,61669,61669,BAHIA DE LORETO,2019,3,11,26.0097222222,-111.3538888889,23.75613,16.72427,23.75613,16.72427,19.40628,65.0,0
13342,61675,61675,LA PAZ,2019,3,11,24.1286111111,-110.3205555556,26.7,18.04651,26.65198,18.04651,21.20197,21.20197,2
13343,61682,61682,STA ROSALIAob,2019,3,11,27.3377777778,-112.2725,21.4,14.4,24.3595,12.3811,17.01706,17.2,0
13344,61689,61689,M AVILA CAMACHO,2019,3,11,19.3202777778,-98.7555555556,29.50931,8.6,29.50931,10.62372,18.8902,18.8902,2
13345,61696,61696,PTO CORTES,2019,3,11,24.4811111111,-111.8294444444,19.0,16.3,22.14346,16.85211,18.96255,17.4,0
13346,61703,61703,SAN JUANICO,2019,3,11,26.2575,-112.4786111111,20.1,13.2,21.73792,12.75195,16.40851,16.2,0
13347,61710,61710,JAUMAVE,2019,3,11,23.4075,-99.3752777778,32.3,16.4,31.35275,16.23328,22.90762,24.3,1
13348,61717,61717,SAN LUCAS,2019,3,11,22.8811111111,-109.9266666667,26.6,17.3,24.12476,20.19446,21.79968,21.8,2
13349,61724,61724,ISLA CEDROS,2019,3,11,28.0344444444,-115.2097222222,15.1,12.3,16.67099,14.17838,15.11118,13.8,0
13350,61731,61731,SAN FELIPE,2019,3,11,31.0280555556,-114.8466666667,16.8,9.6,17.78391,8.09564,11.69266,13.6,0
