,Unnamed: 0,Unnamed: 0.1,Antena,Ano,Mes,Dia,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas,clase
0,1,1,1003,2019,3,2,21.88,-102.72,28.94238,8.73407,28.94238,8.73407,18.08676,18.08676,1
1,8,8,1004,2019,3,2,22.0,-102.2,28.2049,9.20483,28.2049,9.20483,18.13934,18.13934,1
2,15,15,1005,2019,3,2,21.78,-102.37,28.84955,8.93924,28.84955,8.93924,18.42719,18.42719,1
3,22,22,1007,2019,3,2,21.96,-102.35,28.47696,8.55161,28.47696,8.55161,17.89545,17.89545,1
4,29,29,1008,2019,3,2,22.2,-102.14,28.16934,9.50174,28.16934,9.50174,18.25198,18.25198,1
5,36,36,1009,2019,3,2,21.96,-102.7,28.78381,8.55542,28.78381,8.55542,17.89435,17.89435,1
6,43,43,1010,2019,3,2,22.16,-102.55,28.24634,8.14853,28.24634,8.14853,17.37817,17.37817,1
7,50,50,1011,2019,3,2,21.86,-102.66,28.87698,8.65741,28.87698,8.65741,18.10492,18.10492,1
8,57,57,1012,2019,3,2,21.79,-102.8,29.3623,9.12524,29.3623,9.12524,18.42825,18.42825,1
9,64,64,1013,2019,3,2,22.31,-102.17,28.19226,9.29031,28.19226,9.29031,18.08426,18.08426,1
10,71,71,1014,2019,3,2,22.17,-102.29,28.17563,8.62183,28.17563,8.62183,17.67328,17.67328,1
11,78,78,1015,2019,3,2,21.92,-101.97,27.93088,10.26791,27.93088,10.26791,18.70374,18.70374,1
12,85,85,1016,2019,3,2,21.71,-102.28,28.84998,9.42514,28.84998,9.42514,18.80148,18.80148,1
13,92,92,1017,2019,3,2,22.23,-102.44,28.08765,8.17639,28.08765,8.17639,17.28247,17.28247,1
14,99,99,1018,2019,3,2,22.14,-102.42,28.233,8.21603,28.233,8.21603,17.45078,17.45078,1
15,106,106,1019,2019,3,2,22.13,-102.36,28.23334,8.358,28.23334,8.358,17.55078,17.55078,1
