,Unnamed: 0,Unnamed: 0.1,Antena,Ano,Mes,Dia,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas,clase
0,3,3,1003,2019,3,4,21.88,-102.72,29.86624,9.59552,29.86624,9.59552,19.84659,19.84659,0
1,10,10,1004,2019,3,4,22.0,-102.2,29.05115,10.1333,29.05115,10.1333,19.18011,19.18011,0
2,17,17,1005,2019,3,4,21.78,-102.37,29.76917,9.89224,29.76917,9.89224,20.11993,20.11993,0
3,24,24,1007,2019,3,4,21.96,-102.35,29.36121,9.72702,29.36121,9.72702,19.51263,19.51263,0
4,31,31,1008,2019,3,4,22.2,-102.14,29.01196,10.37991,29.01196,10.37991,18.90146,18.90146,0
5,38,38,1009,2019,3,4,21.96,-102.7,29.69165,9.50241,29.69165,9.50241,19.65857,19.65857,0
6,45,45,1010,2019,3,4,22.16,-102.55,29.16849,9.34094,29.16849,9.34094,19.08783,19.08783,0
7,52,52,1011,2019,3,4,21.86,-102.66,29.79926,9.64569,29.79926,9.64569,19.91116,19.91116,0
8,59,59,1012,2019,3,4,21.79,-102.8,30.32764,9.75854,30.32764,9.75854,20.14294,20.14294,0
9,66,66,1013,2019,3,4,22.31,-102.17,29.06042,10.2341,29.06042,10.2341,18.78162,18.78162,0
10,73,73,1014,2019,3,4,22.17,-102.29,29.06778,9.71851,29.06778,9.71851,19.00293,19.00293,0
11,80,80,1015,2019,3,4,21.92,-101.97,28.72748,10.70691,28.72748,10.70691,18.91608,18.91608,0
12,87,87,1016,2019,3,4,21.71,-102.28,29.75714,10.10083,29.75714,10.10083,20.20148,20.20148,0
13,94,94,1017,2019,3,4,22.23,-102.44,29.02063,9.34033,29.02063,9.34033,18.87714,18.87714,0
14,101,101,1018,2019,3,4,22.14,-102.42,29.14328,9.44019,29.14328,9.44019,19.1051,19.1051,0
15,108,108,1019,2019,3,4,22.13,-102.36,29.13361,9.54721,29.13361,9.54721,19.11002,19.11002,0
16,115,115,1020,2019,3,4,22.0,-102.67,29.59836,9.48236,29.59836,9.48236,19.59167,19.59167,0
17,122,122,1021,2019,3,4,22.12,-102.51,29.20892,9.37402,29.20892,9.37402,19.1748,19.1748,0
18,129,129,1022,2019,3,4,21.75,-102.17,29.30457,10.28058,29.30457,10.28058,19.67413,19.67413,0
19,136,136,1023,2019,3,4,21.84,-102.71,29.94,9.66891,29.94,9.66891,19.97528,19.97528,0
20,143,143,1024,2019,3,4,21.78,-102.1,29.04019,10.42896,29.04019,10.42896,19.36118,19.36118,0
21,150,150,1025,2019,3,4,22.08,-102.27,29.10056,9.83676,29.10056,9.83676,19.13107,19.13107,0
22,157,157,1026,2019,3,4,22.22,-102.17,29.02643,10.23846,29.02643,10.23846,18.88736,18.88736,0
23,164,164,1027,2019,3,4,21.88,-102.46,29.59943,9.67889,29.59943,9.67889,19.82703,19.82703,0
24,171,171,1028,2019,3,4,22.1,-102.07,28.89172,10.61691,28.89172,10.61691,18.9057,18.9057,0
25,178,178,1029,2019,3,4,22.24,-102.09,29.04581,10.60263,29.04581,10.60263,18.86871,18.86871,0
26,185,185,1030,2019,3,4,21.9,-102.31,29.39081,9.84912,29.39081,9.84912,19.58704,19.58704,0
27,192,192,1031,2019,3,4,22.02,-102.0,28.77417,10.75027,28.77417,10.75027,18.84756,18.84756,0
28,199,199,1032,2019,3,4,22.04,-101.89,28.74356,10.87936,28.74356,10.87936,18.79947,18.79947,0
29,206,206,1033,2019,3,4,21.9,-101.99,28.75137,10.67203,28.75137,10.67203,18.95233,18.95233,0
30,213,213,1034,2019,3,4,21.89,-102.11,28.93597,10.427,28.93597,10.427,19.13635,19.13635,0
31,220,220,1035,2019,3,4,21.91,-102.13,28.96191,10.3714,28.96191,10.3714,19.14496,19.14496,0
32,227,227,1045,2019,3,4,22.08,-102.09,28.89395,10.54544,28.89395,10.54544,18.92822,18.92822,0
33,234,234,1047,2019,3,4,21.97,-102.58,29.52594,9.52802,29.52594,9.52802,19.62759,19.62759,0
34,241,241,1057,2019,3,4,21.87,-102.47,29.62616,9.68707,29.62616,9.68707,19.8653,19.8653,0
35,248,248,1062,2019,3,4,21.8,-102.27,29.51266,10.02484,29.51266,10.02484,19.82477,19.82477,0
36,255,255,1063,2019,3,4,21.73,-102.28,29.70959,10.07889,29.70959,10.07889,20.12494,20.12494,0
37,262,262,1073,2019,3,4,21.81,-102.13,29.0788,10.36789,29.0788,10.36789,19.36407,19.36407,0
38,269,269,1074,2019,3,4,21.73,-102.45,29.98511,9.92319,29.98511,9.92319,20.41229,20.41229,0
39,276,276,1075,2019,3,4,21.76,-102.3,29.68765,10.01202,29.68765,10.01202,20.06116,20.06116,0
40,283,283,1076,2019,3,4,21.87,-102.35,29.51697,9.80139,29.51697,9.80139,19.74786,19.74786,0
41,290,290,1077,2019,3,4,21.78,-102.52,29.89288,9.81015,29.89288,9.81015,20.23325,20.23325,0
42,297,297,1078,2019,3,4,21.89,-102.83,30.14227,9.54803,30.14227,9.54803,19.84106,19.84106,0
43,304,304,1079,2019,3,4,21.73,-102.27,29.68066,10.09521,29.68066,10.09521,20.09467,20.09467,0
44,311,311,1080,2019,3,4,21.84,-102.52,29.73438,9.70248,29.73438,9.70248,19.99466,19.99466,0
45,318,318,1081,2019,3,4,22.09,-101.97,28.82275,10.83002,28.82275,10.83002,18.83942,18.83942,0
46,325,325,1082,2019,3,4,22.23,-102.32,29.02264,9.57886,29.02264,9.57886,18.87717,18.87717,0
47,332,332,1084,2019,3,4,22.21,-102.02,29.00589,10.80978,29.00589,10.80978,18.87134,18.87134,0
48,339,339,1085,2019,3,4,22.09,-102.18,28.9968,10.19678,28.9968,10.19678,19.02408,19.02408,0
49,346,346,1088,2019,3,4,22.36,-102.3,28.92072,9.58746,28.92072,9.58746,18.60052,18.60052,0
50,353,353,1091,2019,3,4,21.74,-102.72,30.26373,9.88367,30.26373,9.88367,20.36417,20.36417,0
51,360,360,1094,2019,3,4,22.29,-102.24,29.00705,9.87543,29.00705,9.87543,18.76749,18.76749,0
52,367,367,1095,2019,3,4,21.94,-102.55,29.54782,9.56152,29.54782,9.56152,19.68945,19.68945,0
53,374,374,1096,2019,3,4,21.84,-102.18,29.1748,10.23148,29.1748,10.23148,19.42636,19.42636,0
54,381,381,1097,2019,3,4,21.91,-102.27,29.2937,9.94058,29.2937,9.94058,19.47791,19.47791,0
55,388,388,1099,2019,3,4,21.98,-102.06,28.80038,10.5712,28.80038,10.5712,18.94855,18.94855,0
56,395,395,1101,2019,3,4,21.91,-102.09,28.88074,10.48291,28.88074,10.48291,19.06628,19.06628,0
57,402,402,1102,2019,3,4,22.15,-102.28,29.0755,9.7662,29.0755,9.7662,19.03555,19.03555,0
58,409,409,1103,2019,3,4,22.18,-102.59,29.16452,9.3183,29.16452,9.3183,19.04999,19.04999,0
59,416,416,1105,2019,3,4,21.99,-102.35,29.32678,9.7106,29.32678,9.7106,19.46103,19.46103,0
60,423,423,1106,2019,3,4,21.96,-102.48,29.46454,9.58295,29.46454,9.58295,19.6217,19.6217,0
61,430,430,2001,2019,3,4,32.11,-116.45,16.68887,7.31012,16.68887,7.31012,10.4166,10.4166,2
62,437,437,2002,2019,3,4,28.6,-113.56,21.37515,10.14197,21.37515,10.14197,15.11703,15.11703,2
63,444,444,2004,2019,3,4,32.2,-116.49,16.40942,7.81808,16.40942,7.81808,10.67871,10.67871,2
64,451,451,2005,2019,3,4,32.02,-116.78,15.75287,11.31085,15.75287,11.31085,12.89056,12.89056,2
65,458,458,2006,2019,3,4,29.49,-114.36,22.95642,8.97641,22.95642,8.97641,15.0083,15.0083,2
66,465,465,2007,2019,3,4,32.44,-115.39,23.83133,10.37625,23.83133,10.37625,16.01273,16.01273,2
67,472,472,2008,2019,3,4,30.72,-115.98,17.46487,10.27271,17.46487,10.27271,13.21478,13.21478,2
68,479,479,2009,2019,3,4,32.3,-115.02,24.83273,10.53448,24.83273,10.53448,16.43192,16.43192,2
