,Unnamed: 0,Antena,Ano,Mes,Dia,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas
1,1,1003,2019,3,2,21.88,-102.72,28.94238,8.73407,28.94238,8.73407,18.08676,18.08676
8,8,1004,2019,3,2,22.0,-102.2,28.2049,9.20483,28.2049,9.20483,18.13934,18.13934
15,15,1005,2019,3,2,21.78,-102.37,28.84955,8.93924,28.84955,8.93924,18.42719,18.42719
22,22,1007,2019,3,2,21.96,-102.35,28.47696,8.55161,28.47696,8.55161,17.89545,17.89545
29,29,1008,2019,3,2,22.2,-102.14,28.16934,9.50174,28.16934,9.50174,18.25198,18.25198
36,36,1009,2019,3,2,21.96,-102.7,28.78381,8.55542,28.78381,8.55542,17.89435,17.89435
43,43,1010,2019,3,2,22.16,-102.55,28.24634,8.14853,28.24634,8.14853,17.37817,17.37817
50,50,1011,2019,3,2,21.86,-102.66,28.87698,8.65741,28.87698,8.65741,18.10492,18.10492
57,57,1012,2019,3,2,21.79,-102.8,29.3623,9.12524,29.3623,9.12524,18.42825,18.42825
64,64,1013,2019,3,2,22.31,-102.17,28.19226,9.29031,28.19226,9.29031,18.08426,18.08426
71,71,1014,2019,3,2,22.17,-102.29,28.17563,8.62183,28.17563,8.62183,17.67328,17.67328
78,78,1015,2019,3,2,21.92,-101.97,27.93088,10.26791,27.93088,10.26791,18.70374,18.70374
85,85,1016,2019,3,2,21.71,-102.28,28.84998,9.42514,28.84998,9.42514,18.80148,18.80148
92,92,1017,2019,3,2,22.23,-102.44,28.08765,8.17639,28.08765,8.17639,17.28247,17.28247
99,99,1018,2019,3,2,22.14,-102.42,28.233,8.21603,28.233,8.21603,17.45078,17.45078
106,106,1019,2019,3,2,22.13,-102.36,28.23334,8.358,28.23334,8.358,17.55078,17.55078
113,113,1020,2019,3,2,22.0,-102.67,28.69684,8.43924,28.69684,8.43924,17.80762,17.80762
120,120,1021,2019,3,2,22.12,-102.51,28.29587,8.12582,28.29587,8.12582,17.42615,17.42615
127,127,1022,2019,3,2,21.75,-102.17,28.45267,9.78555,28.45267,9.78555,18.81329,18.81329
134,134,1023,2019,3,2,21.84,-102.71,29.00726,8.79996,29.00726,8.79996,18.19891,18.19891
141,141,1024,2019,3,2,21.78,-102.1,28.21927,10.03522,28.21927,10.03522,18.83069,18.83069
148,148,1025,2019,3,2,22.08,-102.27,28.22827,8.74612,28.22827,8.74612,17.82318,17.82318
155,155,1026,2019,3,2,22.22,-102.17,28.16986,9.31339,28.16986,9.31339,18.11771,18.11771
162,162,1027,2019,3,2,21.88,-102.46,28.69073,8.50778,28.69073,8.50778,18.01587,18.01587
169,169,1028,2019,3,2,22.1,-102.07,28.07556,9.87936,28.07556,9.87936,18.46515,18.46515
176,176,1029,2019,3,2,22.24,-102.09,28.21735,9.7644,28.21735,9.7644,18.45068,18.45068
183,183,1030,2019,3,2,21.9,-102.31,28.50681,8.78494,28.50681,8.78494,18.07816,18.07816
190,190,1031,2019,3,2,22.02,-102.0,27.96994,10.12613,27.96994,10.12613,18.56387,18.56387
197,197,1032,2019,3,2,22.04,-101.89,27.94742,10.31152,27.94742,10.31152,18.66711,18.66711
204,204,1033,2019,3,2,21.9,-101.99,27.95343,10.23953,27.95343,10.23953,18.71204,18.71204
211,211,1034,2019,3,2,21.89,-102.11,28.1134,9.81262,28.1134,9.81262,18.52695,18.52695
218,218,1035,2019,3,2,21.91,-102.13,28.13367,9.68518,28.13367,9.68518,18.44211,18.44211
225,225,1045,2019,3,2,22.08,-102.09,28.07358,9.78629,28.07358,9.78629,18.40582,18.40582
232,232,1047,2019,3,2,21.97,-102.58,28.62558,8.33084,28.62558,8.33084,17.79489,17.79489
239,239,1057,2019,3,2,21.87,-102.47,28.71497,8.52615,28.71497,8.52615,18.04492,18.04492
246,246,1062,2019,3,2,21.8,-102.27,28.62451,9.18884,28.62451,9.18884,18.46088,18.46088
253,253,1063,2019,3,2,21.73,-102.28,28.80573,9.36273,28.80573,9.36273,18.72241,18.72241
260,260,1073,2019,3,2,21.81,-102.13,28.24768,9.84686,28.24768,9.84686,18.68939,18.68939
267,267,1074,2019,3,2,21.73,-102.45,29.04337,9.00574,29.04337,9.00574,18.5976,18.5976
274,274,1075,2019,3,2,21.76,-102.3,28.78201,9.19662,28.78201,9.19662,18.57657,18.57657
281,281,1076,2019,3,2,21.87,-102.35,28.61951,8.72141,28.61951,8.72141,18.11407,18.11407
288,288,1077,2019,3,2,21.78,-102.52,28.95782,8.79303,28.95782,8.79303,18.37531,18.37531
295,295,1078,2019,3,2,21.89,-102.83,29.20374,9.04434,29.20374,9.04434,18.19073,18.19073
302,302,1079,2019,3,2,21.73,-102.27,28.78076,9.3999,28.78076,9.3999,18.7352,18.7352
309,309,1080,2019,3,2,21.84,-102.52,28.8136,8.59256,28.8136,8.59256,18.14026,18.14026
316,316,1081,2019,3,2,22.09,-101.97,28.02209,10.19669,28.02209,10.19669,18.63834,18.63834
323,323,1082,2019,3,2,22.23,-102.32,28.10968,8.47815,28.10968,8.47815,17.50351,17.50351
330,330,1084,2019,3,2,22.21,-102.02,28.19717,10.05298,28.19717,10.05298,18.64081,18.64081
337,337,1085,2019,3,2,22.09,-102.18,28.15051,9.27393,28.15051,9.27393,18.11807,18.11807
344,344,1088,2019,3,2,22.36,-102.3,27.98871,8.56506,27.98871,8.56506,17.42242,17.42242
351,351,1091,2019,3,2,21.74,-102.72,29.29764,9.09241,29.29764,9.09241,18.57016,18.57016
358,358,1094,2019,3,2,22.29,-102.24,28.11005,8.86923,28.11005,8.86923,17.74445,17.74445
365,365,1095,2019,3,2,21.94,-102.55,28.64444,8.35577,28.64444,8.35577,17.84644,17.84644
372,372,1096,2019,3,2,21.84,-102.18,28.32617,9.5321,28.32617,9.5321,18.49701,18.49701
