,Unnamed: 0,Antena,Ano,Mes,Dia,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas
4,4,1003,2019,3,5,21.88,-102.72,29.81949,8.31488,29.81949,8.31488,18.534,18.534
11,11,1004,2019,3,5,22.0,-102.2,28.9567,8.20477,28.9567,8.20477,18.25757,18.25757
18,18,1005,2019,3,5,21.78,-102.37,29.73151,8.48535,29.73151,8.48535,18.76361,18.76361
25,25,1007,2019,3,5,21.96,-102.35,29.28119,8.1442,29.28119,8.1442,18.2395,18.2395
32,32,1008,2019,3,5,22.2,-102.14,28.81073,8.03659,28.81073,8.03659,18.11414,18.11414
39,39,1009,2019,3,5,21.96,-102.7,29.63605,8.19647,29.63605,8.19647,18.34036,18.34036
46,46,1010,2019,3,5,22.16,-102.55,28.99719,8.12473,28.99719,8.12473,17.8725,17.8725
53,53,1011,2019,3,5,21.86,-102.66,29.74927,8.31824,29.74927,8.31824,18.53909,18.53909
60,60,1012,2019,3,5,21.79,-102.8,30.29144,8.53152,30.29144,8.53152,18.91788,18.91788
67,67,1013,2019,3,5,22.31,-102.17,28.78394,7.94208,28.78394,7.94208,17.94577,17.94577
74,74,1014,2019,3,5,22.17,-102.29,28.88876,8.10724,28.88876,8.10724,17.95255,17.95255
81,81,1015,2019,3,5,21.92,-101.97,28.64435,8.44113,28.64435,8.44113,18.48856,18.48856
88,88,1016,2019,3,5,21.71,-102.28,29.74713,8.68832,29.74713,8.68832,19.01218,19.01218
95,95,1017,2019,3,5,22.23,-102.44,28.7998,8.16025,28.7998,8.16025,17.76605,17.76605
102,102,1018,2019,3,5,22.14,-102.42,28.9809,8.10034,28.9809,8.10034,17.89868,17.89868
109,109,1019,2019,3,5,22.13,-102.36,28.97778,8.09949,28.97778,8.09949,17.9418,17.9418
116,116,1020,2019,3,5,22.0,-102.67,29.53552,8.1402,29.53552,8.1402,18.25409,18.25409
123,123,1021,2019,3,5,22.12,-102.51,29.05872,8.08731,29.05872,8.08731,17.91046,17.91046
130,130,1022,2019,3,5,21.75,-102.17,29.28625,8.63202,29.28625,8.63202,18.83374,18.83374
137,137,1023,2019,3,5,21.84,-102.71,29.89618,8.38071,29.89618,8.38071,18.64362,18.64362
144,144,1024,2019,3,5,21.78,-102.1,29.01147,8.59763,29.01147,8.59763,18.73193,18.73193
151,151,1025,2019,3,5,22.08,-102.27,28.96878,8.10934,28.96878,8.10934,18.06873,18.06873
158,158,1026,2019,3,5,22.22,-102.17,28.81232,8.03204,28.81232,8.03204,18.0502,18.0502
165,165,1027,2019,3,5,21.88,-102.46,29.53696,8.24738,29.53696,8.24738,18.422,18.422
172,172,1028,2019,3,5,22.1,-102.07,28.74054,8.15341,28.74054,8.15341,18.26535,18.26535
179,179,1029,2019,3,5,22.24,-102.09,28.81723,7.94861,28.81723,7.94861,18.13721,18.13721
186,186,1030,2019,3,5,21.9,-102.31,29.31921,8.24164,29.31921,8.24164,18.37115,18.37115
193,193,1031,2019,3,5,22.02,-102.0,28.64252,8.25272,28.64252,8.25272,18.33417,18.33417
200,200,1032,2019,3,5,22.04,-101.89,28.60211,8.25021,28.60211,8.25021,18.35596,18.35596
207,207,1033,2019,3,5,21.9,-101.99,28.67444,8.4548,28.67444,8.4548,18.50778,18.50778
214,214,1034,2019,3,5,21.89,-102.11,28.86151,8.39334,28.86151,8.39334,18.46777,18.46777
221,221,1035,2019,3,5,21.91,-102.13,28.88156,8.35043,28.88156,8.35043,18.4209,18.4209
228,228,1045,2019,3,5,22.08,-102.09,28.75198,8.17111,28.75198,8.17111,18.25925,18.25925
235,235,1047,2019,3,5,21.97,-102.58,29.45587,8.12439,29.45587,8.12439,18.23648,18.23648
242,242,1057,2019,3,5,21.87,-102.47,29.56598,8.26648,29.56598,8.26648,18.45239,18.45239
249,249,1062,2019,3,5,21.8,-102.27,29.46964,8.46512,29.46964,8.46512,18.6788,18.6788
256,256,1063,2019,3,5,21.73,-102.28,29.6922,8.63791,29.6922,8.63791,18.93866,18.93866
263,263,1073,2019,3,5,21.81,-102.13,29.03513,8.51984,29.03513,8.51984,18.64825,18.64825
270,270,1074,2019,3,5,21.73,-102.45,29.961,8.60446,29.961,8.60446,18.96539,18.96539
277,277,1075,2019,3,5,21.76,-102.3,29.65826,8.55435,29.65826,8.55435,18.83035,18.83035
284,284,1076,2019,3,5,21.87,-102.35,29.4538,8.28241,29.4538,8.28241,18.44983,18.44983
291,291,1077,2019,3,5,21.78,-102.52,29.8551,8.47479,29.8551,8.47479,18.77798,18.77798
298,298,1078,2019,3,5,21.89,-102.83,30.11047,8.39661,30.11047,8.39661,18.66553,18.66553
305,305,1079,2019,3,5,21.73,-102.27,29.66397,8.64124,29.66397,8.64124,18.93561,18.93561
312,312,1080,2019,3,5,21.84,-102.52,29.68277,8.33182,29.68277,8.33182,18.55753,18.55753
319,319,1081,2019,3,5,22.09,-101.97,28.66873,8.17798,28.66873,8.17798,18.32272,18.32272
326,326,1082,2019,3,5,22.23,-102.32,28.80219,8.12439,28.80219,8.12439,17.83914,17.83914
333,333,1084,2019,3,5,22.21,-102.02,28.7951,7.96994,28.7951,7.96994,18.22839,18.22839
340,340,1085,2019,3,5,22.09,-102.18,28.85754,8.13742,28.85754,8.13742,18.16171,18.16171
347,347,1088,2019,3,5,22.36,-102.3,28.61163,8.12122,28.61163,8.12122,17.6897,17.6897
354,354,1091,2019,3,5,21.74,-102.72,30.23141,8.60498,30.23141,8.60498,19.02158,19.02158
361,361,1094,2019,3,5,22.29,-102.24,28.74316,8.05151,28.74316,8.05151,17.8559,17.8559
368,368,1095,2019,3,5,21.94,-102.55,29.47958,8.15421,29.47958,8.15421,18.2836,18.2836
375,375,1096,2019,3,5,21.84,-102.18,29.11786,8.42694,29.11786,8.42694,18.55685,18.55685
382,382,1097,2019,3,5,21.91,-102.27,29.21805,8.24564,29.21805,8.24564,18.35629,18.35629
389,389,1099,2019,3,5,21.98,-102.06,28.70282,8.33871,28.70282,8.33871,18.37964,18.37964
396,396,1101,2019,3,5,21.91,-102.09,28.80005,8.38208,28.80005,8.38208,18.44415,18.44415
403,403,1102,2019,3,5,22.15,-102.28,28.90881,8.10608,28.90881,8.10608,17.98798,17.98798
410,410,1103,2019,3,5,22.18,-102.59,28.98306,8.15677,28.98306,8.15677,17.86465,17.86465
417,417,1105,2019,3,5,21.99,-102.35,29.24319,8.11447,29.24319,8.11447,18.194,18.194
424,424,1106,2019,3,5,21.96,-102.48,29.38919,8.11951,29.38919,8.11951,18.22754,18.22754
431,431,2001,2019,3,5,32.11,-116.45,23.54718,4.58691,23.54718,4.58691,12.01633,12.01633
438,438,2002,2019,3,5,28.6,-113.56,24.21573,12.77475,24.21573,12.77475,16.92072,16.92072
445,445,2004,2019,3,5,32.2,-116.49,23.52353,4.98972,23.52353,4.98972,12.12759,12.12759
452,452,2005,2019,3,5,32.02,-116.78,20.43961,8.51913,20.43961,8.51913,13.10263,13.10263
459,459,2006,2019,3,5,29.49,-114.36,23.15054,12.45941,23.15054,12.45941,16.38504,16.38504
466,466,2007,2019,3,5,32.44,-115.39,29.35339,9.42361,29.35339,9.42361,17.51706,17.51706
473,473,2008,2019,3,5,30.72,-115.98,21.1897,11.47549,21.1897,11.47549,14.99643,14.99643
480,480,2009,2019,3,5,32.3,-115.02,28.34058,9.89407,28.34058,9.89407,17.48361,17.48361
487,487,2010,2019,3,5,31.78,-115.77,27.82092,6.84985,27.82092,6.84985,15.58051,15.58051
494,494,2011,2019,3,5,32.35,-115.19,28.67822,9.64636,28.67822,9.64636,17.41098,17.41098
