,Unnamed: 0,Antena,Ano,Mes,Dia,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas
27552,27552,30293,2019,3,1,18.23,-94.87,29.78711,20.52631,29.78711,20.52631,24.80344,24.80344
27559,27559,30294,2019,3,1,18.5,-95.04,28.45184,21.5228,28.45184,21.5228,24.69821,24.69821
27566,27566,30295,2019,3,1,18.91,-96.68,28.36429,14.56805,28.36429,14.56805,20.60339,20.60339
27573,27573,30296,2019,3,1,19.02,-96.79,27.91656,13.44241,27.91656,13.44241,19.77567,19.77567
27580,27580,30297,2019,3,1,19.02,-96.67,28.45526,14.95407,28.45526,14.95407,20.8645,20.8645
27587,27587,30299,2019,3,1,18.73,-97.33,26.03513,7.90845,26.03513,7.90845,15.7511,15.7511
27594,27594,30301,2019,3,1,22.03,-98.34,30.96667,20.3526,30.96667,20.3526,24.50018,24.50018
27601,27601,30302,2019,3,1,18.44,-95.18,28.95059,21.32205,28.95059,21.32205,24.81067,24.81067
27608,27608,30304,2019,3,1,21.74,-98.16,31.07782,20.30521,31.07782,20.30521,24.51791,24.51791
27615,27615,30306,2019,3,1,19.76,-96.67,27.98633,16.9458,27.98633,16.9458,21.84027,21.84027
27622,27622,30307,2019,3,1,20.75,-97.63,31.34048,20.27213,31.34048,20.27213,24.63513,24.63513
27629,27629,30311,2019,3,1,19.33,-96.99,27.59824,12.7373,27.59824,12.7373,19.3367,19.3367
27636,27636,30317,2019,3,1,21.68,-97.69,27.47202,21.88223,27.47202,21.88223,24.12518,24.12518
27643,27643,30319,2019,3,1,21.49,-97.91,30.89511,20.72186,30.89511,20.72186,24.71414,24.71414
27650,27650,30322,2019,3,1,20.62,-97.61,31.62054,19.92001,31.62054,19.92001,24.5365,24.5365
27657,27657,30325,2019,3,1,21.81,-98.01,30.27161,20.48615,30.27161,20.48615,24.31445,24.31445
27664,27664,30327,2019,3,1,17.57,-94.16,31.5495,19.87244,31.5495,19.87244,25.35345,25.35345
27671,27671,30329,2019,3,1,21.47,-97.92,31.00702,20.66931,31.00702,20.66931,24.71936,24.71936
27678,27678,30331,2019,3,1,21.32,-97.44,28.3699,21.77765,28.3699,21.77765,24.43182,24.43182
27685,27685,30332,2019,3,1,20.72,-97.2,28.96872,21.56665,28.96872,21.56665,24.55029,24.55029
27692,27692,30336,2019,3,1,19.35,-97.11,26.83444,11.23279,26.83444,11.23279,18.18991,18.18991
27699,27699,30337,2019,3,1,20.05,-96.97,28.48328,17.29666,28.48328,17.29666,22.23523,22.23523
27706,27706,30338,2019,3,1,19.7,-96.84,28.23935,15.01712,28.23935,15.01712,20.90567,20.90567
27713,27713,30339,2019,3,1,19.43,-96.7,27.94803,14.92529,27.94803,14.92529,20.71277,20.71277
27720,27720,30340,2019,3,1,21.35,-97.68,28.94519,21.4982,28.94519,21.4982,24.46616,24.46616
27727,27727,30342,2019,3,1,19.15,-96.95,27.62537,12.72241,27.62537,12.72241,19.27161,19.27161
27734,27734,30343,2019,3,1,20.06,-97.08,28.38226,16.58124,28.38226,16.58124,21.76178,21.76178
27741,27741,30345,2019,3,1,21.51,-98.18,31.96313,20.27588,31.96313,20.27588,24.85178,24.85178
27748,27748,30348,2019,3,1,17.83,-95.82,31.55988,18.85535,31.55988,18.85535,24.71371,24.71371
27755,27755,30351,2019,3,1,20.49,-97.49,31.73477,19.50156,31.73477,19.50156,24.35925,24.35925
27762,27762,30353,2019,3,1,19.6,-96.38,27.4509,21.57886,27.4509,21.57886,24.1246,24.1246
27769,27769,30355,2019,3,1,20.38,-97.66,30.68076,17.80734,30.68076,17.80734,23.01675,23.01675
27776,27776,30357,2019,3,1,21.28,-97.56,28.9223,21.57553,28.9223,21.57553,24.51733,24.51733
27783,27783,30358,2019,3,1,20.33,-96.99,28.00537,20.42224,28.00537,20.42224,23.72134,23.72134
27790,27790,30359,2019,3,1,20.51,-98.5,28.07565,13.26431,28.07565,13.26431,19.2594,19.2594
27797,27797,30361,2019,3,1,20.89,-97.81,31.1799,19.88943,31.1799,19.88943,24.23819,24.23819
27804,27804,30362,2019,3,1,20.71,-97.54,31.5484,20.38205,31.5484,20.38205,24.7872,24.7872
27811,27811,30364,2019,3,1,19.02,-96.61,28.88824,16.20691,28.88824,16.20691,21.76117,21.76117
27818,27818,30365,2019,3,1,20.43,-98.35,27.72263,13.61664,27.72263,13.61664,19.4339,19.4339
27825,27825,30367,2019,3,1,19.32,-96.72,27.97992,14.41119,27.97992,14.41119,20.41922,20.41922
27832,27832,30368,2019,3,1,19.75,-97.31,26.29755,10.41898,26.29755,10.41898,17.4715,17.4715
27839,27839,30370,2019,3,1,19.66,-97.29,25.82901,9.46619,25.82901,9.46619,16.79147,16.79147
27846,27846,30375,2019,3,1,21.07,-97.55,30.30231,21.16464,30.30231,21.16464,24.78995,24.78995
27853,27853,30377,2019,3,1,21.12,-97.41,29.63248,21.42966,29.63248,21.42966,24.70166,24.70166
27860,27860,30382,2019,3,1,20.76,-98.34,29.90509,16.62857,29.90509,16.62857,21.80725,21.80725
27867,27867,30384,2019,3,1,19.83,-97.3,26.88577,11.65863,26.88577,11.65863,18.37012,18.37012
27874,27874,30452,2019,3,1,19.51,-96.95,27.81961,13.37003,27.81961,13.37003,19.82977,19.82977
27881,27881,30453,2019,3,1,19.43,-97.09,26.99481,11.59534,26.99481,11.59534,18.48456,18.48456
27888,27888,30454,2019,3,1,19.61,-96.88,28.07449,14.13708,28.07449,14.13708,20.35675,20.35675
27895,27895,30455,2019,3,1,19.61,-97.03,27.6438,13.2384,27.6438,13.2384,19.67767,19.67767
27902,27902,30457,2019,3,1,18.23,-95.45,31.27692,20.18768,31.27692,20.18768,25.2709,25.2709
27909,27909,30458,2019,3,1,18.14,-94.77,30.29236,20.32339,30.29236,20.32339,24.93579,24.93579
27916,27916,31001,2019,3,1,20.65,-89.68,34.93945,21.3472,34.93945,21.3472,27.79498,27.79498
27923,27923,31002,2019,3,1,19.87,-89.22,34.60257,20.01797,34.60257,20.01797,26.70453,26.70453
27930,27930,31003,2019,3,1,21.21,-88.8,33.06552,21.54065,33.06552,21.54065,27.09354,27.09354
27937,27937,31004,2019,3,1,20.85,-90.4,31.17883,23.55991,31.17883,23.55991,27.30185,27.30185
27944,27944,31005,2019,3,1,20.43,-89.76,35.09772,21.23611,35.09772,21.23611,27.80933,27.80933
27951,27951,31007,2019,3,1,21.29,-89.61,31.05933,23.26816,31.05933,23.26816,27.05814,27.05814
27958,27958,31008,2019,3,1,20.39,-88.48,34.20056,19.9953,34.20056,19.9953,26.50385,26.50385
27965,27965,31009,2019,3,1,20.36,-89.48,34.89664,20.31165,34.89664,20.31165,27.12418,27.12418
27972,27972,31010,2019,3,1,21.39,-88.89,31.28296,22.42249,31.28296,22.42249,26.75882,26.75882
27979,27979,31011,2019,3,1,20.84,-88.53,34.50238,20.43146,34.50238,20.43146,27.02277,27.02277
27986,27986,31012,2019,3,1,21.52,-87.68,30.24045,22.42938,30.24045,22.42938,25.94891,25.94891
27993,27993,31013,2019,3,1,21.01,-88.28,34.05219,20.57153,34.05219,20.57153,26.70465,26.70465
28000,28000,31014,2019,3,1,19.96,-88.95,34.63028,20.81934,34.63028,20.81934,26.86865,26.86865
28007,28007,31015,2019,3,1,20.94,-89.03,34.84229,21.01947,34.84229,21.01947,27.63327,27.63327
28014,28014,31016,2019,3,1,20.91,-89.96,34.21786,22.58603,34.21786,22.58603,28.14084,28.14084
28021,28021,31017,2019,3,1,21.39,-88.15,32.65738,20.94281,32.65738,20.94281,26.40091,26.40091
28028,28028,31018,2019,3,1,20.6,-90.0,34.95035,21.97284,34.95035,21.97284,28.17267,28.17267
28035,28035,31020,2019,3,1,21.08,-89.28,34.13052,21.94934,34.13052,21.94934,27.8432,27.8432
28042,28042,31021,2019,3,1,20.49,-89.71,35.08081,21.1261,35.08081,21.1261,27.72589,27.72589
28049,28049,31022,2019,3,1,20.12,-88.95,34.65143,20.61441,34.65143,20.61441,26.87021,26.87021
28056,28056,31024,2019,3,1,21.59,-88.15,31.2337,21.68848,31.2337,21.68848,26.16858,26.16858
28063,28063,31025,2019,3,1,20.2,-89.28,34.73306,20.0314,34.73306,20.0314,26.85211,26.85211
28070,28070,31027,2019,3,1,20.33,-89.64,34.96548,20.64819,34.96548,20.64819,27.37836,27.37836
28077,28077,31029,2019,3,1,21.17,-90.03,31.86481,23.3071,31.86481,23.3071,27.46631,27.46631
28084,28084,31030,2019,3,1,20.6,-89.01,34.75266,20.20486,34.75266,20.20486,27.05313,27.05313
28091,28091,31031,2019,3,1,21.34,-89.27,30.90881,23.24234,30.90881,23.24234,26.93872,26.93872
28098,28098,31032,2019,3,1,20.64,-89.46,34.99582,20.77426,34.99582,20.77426,27.48596,27.48596
28105,28105,31033,2019,3,1,20.21,-89.29,34.74216,20.03693,34.74216,20.03693,26.86371,26.86371
28112,28112,31034,2019,3,1,21.16,-88.17,33.56482,20.66464,33.56482,20.66464,26.54727,26.54727
28119,28119,31035,2019,3,1,20.23,-89.11,34.71753,20.21643,34.71753,20.21643,26.88275,26.88275
28126,28126,31036,2019,3,1,20.69,-88.2,33.83371,19.8786,33.83371,19.8786,26.19885,26.19885
28133,28133,31037,2019,3,1,20.34,-89.48,34.88144,20.28214,34.88144,20.28214,27.099,27.099
28140,28140,31038,2019,3,1,20.1,-89.46,34.68546,19.91281,34.68546,19.91281,26.78162,26.78162
28147,28147,31039,2019,3,1,20.53,-88.83,34.63544,19.97046,34.63544,19.97046,26.87424,26.87424
28154,28154,31040,2019,3,1,20.86,-90.4,31.15533,23.5741,31.15533,23.5741,27.2926,27.2926
28161,28161,31042,2019,3,1,20.7,-88.22,33.85529,19.90451,33.85529,19.90451,26.22638,26.22638
28168,28168,31045,2019,3,1,20.6,-89.02,34.76221,20.21976,34.76221,20.21976,27.06506,27.06506
28175,28175,31051,2019,3,1,21.02,-89.88,33.59976,22.79672,33.59976,22.79672,27.97897,27.97897
28182,28182,31052,2019,3,1,20.88,-89.75,34.49249,22.20618,34.49249,22.20618,28.09039,28.09039
28189,28189,31054,2019,3,1,21.3,-88.27,32.88809,20.95273,32.88809,20.95273,26.49191,26.49191
28196,28196,31056,2019,3,1,21.11,-89.45,33.79819,22.1813,33.79819,22.1813,27.80423,27.80423
28203,28203,31057,2019,3,1,21.07,-89.52,34.13602,22.09811,34.13602,22.09811,27.92249,27.92249
28210,28210,31058,2019,3,1,20.49,-90.08,34.92636,21.81308,34.92636,21.81308,28.10281,28.10281
28217,28217,31059,2019,3,1,20.17,-89.24,34.70599,20.03427,34.70599,20.03427,26.82104,26.82104
28224,28224,31060,2019,3,1,20.24,-89.33,34.77063,20.05923,34.77063,20.05923,26.90063,26.90063
28231,28231,31061,2019,3,1,20.29,-89.4,34.82352,20.14023,34.82352,20.14023,26.9823,26.9823
28238,28238,31062,2019,3,1,20.23,-89.53,34.8092,20.16824,34.8092,20.16824,27.00058,27.00058
